"";"*jor_01";"*jor_02"
"exterior";6;7
"eleitor";14;7
"antigo";12;4
"afetar";10;2
"dado";8;2
"cultural";13;6
"especialmente";18;4
"lutar";7;4
"necessidade";16;6
"gestão";28;15
"ela";56;24
"ele";238;114
"aprender";16;1
"espaço";26;12
"despesa";15;5
"baleia";11;1
"gostar";7;8
"50";8;4
"rio";8;8
"mão";8;7
"município";7;3
"algo";24;17
"esperar";25;16
"ajuda";13;8
"6";13;1
"populismo";98;49
"devido";12;6
"plataforma";7;4
"vivo";9;3
"penal";2;8
"regime";26;10
"junto";8;4
"direção";16;1
"pauta";12;6
"quase";30;14
"dez";18;1
"cenário";35;6
"melhor";31;17
"semana";20;20
"pensar";21;5
"garantia";7;6
"audiência";8;3
"garantir";17;11
"seguinte";9;1
"tribunal";23;9
"produção";13;2
"figura";21;2
"trump";121;43
"elevação";10;2
"construir";10;4
"impacto";24;4
"determinado";11;2
"estudo";11;1
"voltar";38;14
"civil";19;11
"passar";55;27
"maior";59;39
"adversário";6;11
"covid_19";36;12
"emprego";16;5
"pandemia";84;56
"ameaça";21;9
"avaliar";14;3
"contribuir";8;3
"aceitar";6;10
"ano";181;61
"politicamente";5;5
"frio";8;7
"liderar";12;8
"mercado";93;30
"qualquer";40;19
"ouvir";9;3
"crime";20;9
"administração";9;7
"liderança";12;11
"declínio";9;5
"educação";29;7
"ódio";9;5
"médico";7;3
"índice";6;4
"federal";47;16
"descobrir";7;4
"câmara";30;19
"como";475;191
"joe";14;4
"por";726;312
"acabar";37;12
"verdadeiro";11;4
"casa";32;11
"caso";63;32
"prisão";6;4
"errado";8;4
"fácil";10;8
"golpe";16;10
"consumidor";5;7
"luta";6;6
"recuperação";12;4
"prejuízo";4;6
"ciência";16;4
"tanto";39;16
"teoria";11;5
"legal";13;3
"eletrobras";2;14
"populista";54;39
"último";60;27
"ex_presidente";25;10
"opinião";8;5
"defesa";17;10
"5";21;18
"isolamento";11;4
"grupo";51;23
"velho";10;5
"maioria";23;15
"sociedade";39;28
"existir";32;11
"ter";503;238
"sua";219;95
"sul";9;1
"contexto";12;3
"jato";10;1
"avaliação";13;1
"evitar";17;14
"influenciar";8;5
"texto";13;3
"provocar";8;7
"começar";36;9
"avanço";16;8
"levar";44;23
"negócio";15;3
"concordar";9;1
"lhe";33;44
"dentro";12;6
"grande";90;25
"parceiro";0;10
"argentino";9;3
"ficar";60;25
"cercar";15;2
"envolver";13;5
"intenção";12;1
"senado";17;12
"obra";11;11
"sanitário";20;2
"projeto";35;36
"responsável";14;10
"direito";126;53
"privado";12;6
"situação";29;8
"curso";4;8
"atualmente";12;1
"superar";14;1
"história";45;14
"porque";71;44
"vítima";9;3
"início";22;6
"curto";13;3
"pleito";10;1
"demonstrar";8;6
"considerar";39;10
"operar";7;4
"pt";27;5
"criar";26;16
"benefício";11;2
"cinco";14;4
"trumpismo";13;0
"9";16;0
"atrás";12;1
"pé";6;4
"literatura";13;2
"amplo";15;3
"apenas";44;33
"propor";6;4
"teitelbaum";10;4
"leitor";11;1
"investidor";16;7
"estratégia";23;6
"jornalismo";16;2
"piorar";9;4
"direto";11;6
"arthur";6;7
"medo";14;2
"gás";6;9
"exemplo";47;12
"exatamente";3;8
"impossível";4;7
"imposto";25;4
"tentativa";17;8
"restrição";9;3
"conselho";10;13
"independente";8;6
"problema";47;15
"narrativa";10;7
"nenhum";18;12
"palavra";10;8
"expectativa";6;4
"postura";10;3
"informação";10;8
"nação";14;10
"recuperar";12;4
"público";104;34
"iniciativa";13;2
"mito";8;3
"invasão";11;1
"rede";26;15
"uso";26;9
"partidário";9;3
"violência";27;16
"especialista";12;6
"tal";18;5
"importar";16;5
"sim";20;5
"vírus";16;8
"ainda";107;53
"superior";11;3
"listar";12;3
"dever";77;45
"prático";21;4
"primeiro";73;18
"embora";35;14
"cair";20;11
"efeito";36;17
"vacinação";19;21
"europeu";16;17
"governança";7;4
"norte";9;2
"lugar";22;8
"centro";19;4
"democrata";29;3
"debate";26;10
"manipular";6;5
"local";15;4
"partir";18;5
"favor";7;4
"itália";12;13
"agravar";9;4
"trabalhar";11;2
"combater";11;3
"amigo";25;0
"klara";26;0
"comunicação";9;4
"gasto";26;12
"diante";18;17
"quarta_feira";13;1
"notícia";21;5
"manter";39;10
"resultar";15;3
"diretamente";11;3
"preso";7;3
"esquerdo";39;12
"socialista";14;0
"dizer";166;64
"oferecer";8;5
"investir";18;2
"universo";10;2
"em";2467;1031
"série";15;7
"mídia";40;5
"fundo";12;9
"tema";25;8
"branco";26;14
"presença";8;3
"assunto";4;7
"perigo";9;2
