*tit_118;11;5;3;8;1
*dia_02_02;6;9;5;11;7
*tit_01;0;1;1;8;14
*aut_34;1;26;0;1;1
*dia_25_01;4;2;1;5;5
*dia_25_02;5;4;0;0;0
*dia_03_01;0;0;0;6;6
*dia_03_03;10;8;39;6;0
*dia_09_03;6;14;2;4;0
*dia_09_02;9;13;10;34;3
*aut_38;1;4;2;5;0
*tit_61;1;1;2;24;15
*tit_60;1;1;2;15;4
*tit_63;0;1;5;7;17
*tit_62;3;2;1;4;0
*tit_65;2;1;1;9;0
*tit_64;0;0;1;23;6
*tit_67;0;0;4;4;18
*tit_66;0;0;6;16;6
*tit_69;1;1;2;12;5
*tit_68;1;1;1;3;19
*aut_102;7;5;2;2;2
*aut_103;57;36;0;1;3
*aut_104;0;0;1;16;1
*aut_105;2;9;1;6;0
*aut_106;2;0;4;9;7
*aut_107;5;6;1;16;2
*aut_17;1;1;1;4;2
*aut_16;12;7;1;4;1
*aut_15;0;0;3;3;0
*aut_14;14;22;1;1;0
*tit_101;0;4;2;8;0
*aut_12;11;3;7;24;8
*aut_11;2;2;2;8;1
*aut_10;1;16;1;2;0
*tit_07;1;0;6;8;15
*tit_109;2;0;4;8;0
*dia_14_03;14;1;0;3;0
*aut_19;0;6;2;3;0
*aut_18;0;13;1;3;1
*tit_23;12;5;1;4;0
*dia_13_03;0;0;1;18;6
*tit_70;1;2;1;10;13
*dia_24_03;0;17;0;1;1
*tit_71;0;4;5;4;0
*dia_23_01;3;2;3;4;13
*tit_134;0;4;2;4;3
*dia_23_02;19;40;0;2;2
*aut_118;1;5;3;7;22
*dia_30_03;2;10;2;22;14
*aut_13;14;1;0;3;0
*dia_30_01;0;1;6;14;1
*aut_113;4;6;0;1;3
*aut_112;1;6;4;2;3
*aut_111;1;0;1;6;2
*aut_110;14;26;1;13;14
*aut_117;2;3;26;6;1
*aut_116;4;10;8;8;3
*aut_115;1;6;2;6;17
*aut_114;1;1;5;2;1
*aut_04;4;9;12;71;29
*aut_05;0;17;0;1;1
*aut_06;7;1;3;2;0
*aut_07;1;0;6;8;15
*aut_01;0;6;4;14;27
*aut_02;0;0;1;31;6
*aut_03;0;5;17;5;1
*aut_08;0;2;40;16;1
*aut_09;3;1;0;2;2
*dia_17_03;3;3;2;18;11
*aut_108;21;18;8;25;10
*aut_53;0;2;0;2;22
*aut_109;16;7;1;2;1
*tit_103;6;11;0;0;1
*dia_22_01;2;6;0;0;0
*dia_22_02;57;21;15;11;6
*dia_22_03;1;2;46;24;16
*dia_12_03;14;22;4;4;0
*dia_12_02;1;1;1;3;19
*aut_41;2;14;0;0;0
*dia_05_03;8;5;2;56;7
*tit_136;1;0;3;8;17
*dia_05_02;0;3;4;7;13
*tit_09;3;1;0;2;2
*tit_08;0;2;40;16;1
*dia_05_01;1;1;2;12;5
*dia_23_03;7;1;3;2;0
*tit_02;0;0;0;8;0
*aut_124;0;0;3;2;1
*aut_125;0;1;4;21;2
*dia_28_02;1;6;4;2;3
*aut_123;1;2;1;1;16
*aut_120;2;2;3;8;41
*aut_121;0;3;4;7;13
*aut_31;3;5;1;7;1
*aut_30;0;2;0;5;0
*aut_33;12;3;0;1;0
*aut_32;2;0;2;28;9
*aut_35;10;4;1;0;0
*tit_132;2;6;3;3;4
*aut_37;1;2;7;1;1
*aut_36;28;6;0;4;2
*aut_39;0;25;1;4;0
*dia_31_01;4;11;3;23;20
*dia_09_01;2;1;7;25;6
*tit_133;1;1;1;3;19
*dia_10_03;10;2;1;3;3
*dia_26_01;31;13;3;6;21
*dia_26_02;3;3;2;33;9
*dia_26_03;3;6;13;9;10
*dia_21_03;0;4;2;8;0
*dia_21_02;18;47;3;11;0
*tit_18;12;7;1;4;1
*tit_105;0;0;1;16;1
*dia_16_03;3;18;3;10;1
*dia_16_02;2;7;2;0;0
*dia_16_01;0;1;5;7;17
*tit_104;2;4;0;1;0
*tit_10;0;2;2;16;9
*tit_11;1;16;1;2;0
*tit_12;2;2;2;8;1
*dia_19_01;3;7;5;18;8
*tit_14;14;1;0;3;0
*tit_15;0;0;1;18;6
*tit_16;14;22;1;1;0
*tit_17;0;0;3;3;0
*tit_106;2;9;1;6;0
