"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"dever";0,320366132616556;-0,291505064217205;-0,215001992576511;0,231280742945603;0,597666492383322;-0,543824054745505;-0,401101969515699;0,431471171010302;0,444650142995534;0,27909881154882;0,133208773611589;0,143042271844059;0,000375417680780777;0,000310823419018477;0,000169085550191708;0,000195659289803571;0,00365781322085283;0,257446353161073;0,000242434829892206
"eleição";1,12540312719075;-1,49489276821066;0,169541478336789;0,429156834371271;0,583953167707134;-0,775675263634793;0,0879722838336649;0,22268242092044;0,40941485485099;0,547656167370943;0,00618047584596765;0,0367485019321022;0,00429884717805126;0,00758500467970078;9,75635743192604e-05;0,000625126396039669;0,00339418704277335;0,942487683131818;0,00301499876043247
"vacina";-0,172420396764354;0,156487359853818;-0,031190543747168;-0,549123330377774;-0,288682882763783;0,2620062533578;-0,0522222211111619;-0,919395320861933;0,126471034273246;0,0789792230181779;0,00275284844757556;0,791796894261003;3,42881355932644e-05;2,82439294401451e-05;1,12205070432808e-06;0,000347781424859329;0,00115336452909774;0,259801987340618;7,78487293849175e-05
"grande";-0,019794400639207;0,247528605305374;0,735552919301194;0,00144678291363014;-0,0254971059646774;0,318840827453959;0,947463430082503;0,00186359657607649;0,000963366701324032;0,114208452824658;0,88482500379106;3,17668295893991e-06;1,26534611063115e-06;0,000197867930651602;0,00174723962021571;6,75976136291002e-09;0,00322942068147367;0,341740070380363;0,000377152014069413
"lula";-0,876794009490929;-0,335598841635125;2,72209486067375;-0,660849710408905;-0,296785219185863;-0,113596551407817;0,921399452009062;-0,223690426747436;0,127019034877206;0,0141076639784974;0,814334422238968;0,0445388789053305;0,00190000593590386;0,000278356082779043;0,0183132878233699;0,00107935726227724;0,00247149541949516;1,31829478324049;0,00429521469597089
"só";0,091437756721358;0,130054868122003;-0,170787154930637;-0,679621750490043;0,127251308921269;0,180993637568562;-0,23767959529115;-0,945810138198866;0,0256717228953598;0,0393729229301601;0,0595712783087175;0,875384075865764;2,75517806440198e-05;5,57380502281405e-05;9,61189359035829e-05;0,00152206460073535;0,00329532722599354;0,305806997321813;0,000308172146612349
"pessoa";0,982298376662234;0,591805327191324;-0,461819940809281;-1,56505203219542;0,492517259398333;0,296726885405237;-0,231553158375114;-0,784705702489138;0,334553251142027;0,0920612107663739;0,0491865527073711;0,52419898538423;0,00292531896371778;0,0010618034062765;0,000646594098433932;0,00742581175245727;0,00303170104791406;0,910039331711161;0,00251076866288932
"maior";-0,717502621902213;-0,182959172792449;0,342244869736588;-0,397092399260841;-0,790856558100603;-0,201664018012871;0,377234300538007;-0,437689171497048;0,719583906188319;0,0354718119032547;0,108900775235444;0,136043506672984;0,00140806798366288;9,15556214802107e-05;0,000320369034517372;0,000431280465455436;0,00273512159757464;0,453244074920801;0,000561876553431011
"relação";0,338330092257649;-0,253920946100801;-0,0744877614905578;-0,115914032338856;0,760479412372202;-0,570749266171328;-0,1674294140059;-0,260545062990188;0,652860285889156;0,278789614705532;0,0210489997849966;0,0473010996203166;0,000313081851319671;0,000176349281292567;1,51756214586951e-05;3,67492658051612e-05;0,00273512159757464;0,224377789706204;0,000137700770401887
"caso";-0,699549734376797;-0,328745795021042;0,0384692856675142;-0,214046869348242;-0,871217180356631;-0,409419045591494;0,04790953515184;-0,266573341127589;0,814845695547403;0,136426625370531;0,00163903809911523;0,0470886409829521;0,00124172796997073;0,000274226666654232;3,75506549008761e-06;0,000116253766407083;0,00253740196401503;0,41526972664812;0,000437572293943884
"afirmar";-0,0937965240646073;0,104966351737487;0,0240276540032423;0,450470088470533;-0,19848444734162;0,222121112928775;0,0508453343373814;0,953247547770722;0,0616139403748021;0,0584987034776725;0,00268937185220357;0,877197984295324;2,34831879672708e-05;2,94092379477792e-05;1,54101300694857e-06;0,000541645928594828;0,00266921505305477;0,202486753035699;0,000109440179844136
"populista";0,856075486752266;-0,156073536495856;-0,028179188308516;-0,121791373367416;0,973787206188722;-0,177533892064677;-0,032053870809592;-0,138537877844485;0,963008636426465;0,0242663882343325;0,00069404181792519;0,0120309335212779;0,00217352769760863;7,22436364426644e-05;2,35503851695157e-06;4,39920410072141e-05;0,00296579450339419;0,467462023101795;0,000648087618592832
"lei";-0,684549188998839;0,421905304757613;0,698815568954135;0,646807372806467;-0,549256165171407;0,338520727919573;0,560702964424188;0,518973571076534;0,394912017469848;0,11372646529948;0,273740335102682;0,217621182127994;0,00108095074972411;0,000410607198074969;0,0011264754484574;0,000965042655578206;0,00230672905819548;0,583719026075125;0,000785966951102171
"líder";1,1228004389375;-0,613969715245507;-0,0683675582252009;-0,48554610648154;0,819307304741078;-0,448013605219516;-0,0498877965475538;-0,354302917983682;0,743724550146662;0,168593726191058;0,00183412837468595;0,0858475952875945;0,00344811535396079;0,00103102818601489;1,2784294815367e-05;0,000644818651094339;0,00273512159757464;0,697663301384741;0,00133127690022479
"parecer";0,699185333148061;-0,0949831555283309;0,0251865864076918;-0,675432136617538;0,715571759752807;-0,0972092241155314;0,0257768707429417;-0,691261872466455;0,628584466278925;0,00879453238776752;0,000542550624561939;0,362078450708746;0,00122432511325353;2,25946347918359e-05;1,58873242767685e-06;0,00114255095924852;0,00250444869175509;0,472563148203768;0,000559283286332943
"preço";-2,37886675013959;-0,130926328840335;-0,902115979217032;0,129695162778789;-0,932581855244194;-0,0513267582738994;-0,353654526254691;0,0508441069737697;0,909267779797431;0,00208807498527612;0,0869759021095621;0,00166824310772968;0,0141726927151485;4,29305171144195e-05;0,00203815350414755;4,2126918831624e-05;0,00250444869175509;1,33682198423437;0,00447568276980344
"saúde";-1,29020320386522;-0,150642966837399;-1,27136348308727;-0,152294841445437;-0,707358832164533;-0,0825905816825382;-0,697029883323085;-0,0834962282428038;0,600670337922392;0,00620809300937142;0,387955614851805;0,00516595421643104;0,00373012762452901;5,08516652974035e-05;0,00362198732013082;5,19730071080398e-05;0,00224082251367561;0,892050388484292;0,00178314324459429
"nacional";0,0539954521437942;-0,0669371022685045;-0,391477813026973;1,08273477563865;0,0467678837358123;-0,0579772275666625;-0,339076498443578;0,937805168645279;0,00350480610085034;0,00408341939365669;0,122542450244747;0,869869324260748;5,66845786200994e-06;8,7113281469106e-06;0,000297964733653546;0,00227926451816579;0,00194424306333619;0,488736245184717;0,000464407959008704
"querer";0,325380632027539;-0,0884991348585738;0,539453321904896;-1,05568806849269;0,263988731587613;-0,0718013675624635;0,437670789785499;-0,856503819594204;0,106588130490487;0,00597783658282717;0,194874858474813;0,692559174451874;0,000275618925070606;2,03893644232046e-05;0,000757588513630263;0,00290132823234261;0,0026033085085349;0,534055804643954;0,000742504204687213
"último";0,782038529792474;-0,594422889730621;-0,245815511280595;-0,281513003874573;0,744091064019814;-0,565579244049219;-0,233887613427295;-0,267852928734894;0,631431584603657;0,276567783998454;0,0414964734098968;0,0505041579879935;0,00157198881046062;0,000908205648295813;0,000155314397802642;0,000203699550693266;0,00257035523627496;0,527368716066714;0,000714861447620663
"empresa";-1,31488349796601;-0,244820609205803;1,43753622500487;-0,0385349953695331;-0,669531230049441;-0,1246612676154;0,73198530398852;-0,0196218013912438;0,54889372540662;0,0144261420730274;0,436389138174147;0,000290994346207894;0,00427301443326141;0,000148134343962714;0,00510737098349352;3,6700369112814e-06;0,00247149541949516;0,951026252732593;0,00223534633902309
